x	y	label	hjust	showSelected1	PANEL
-0.8	13.1946891450771	 min at x=23.6 f(x)=-1 	0	9.5	1
0.8	13.1946891450771	 max at x=14.1 f(x)=1 	1	9.6	1
0.8	13.1946891450771	 max at x=14.1 f(x)=1 	1	9.7	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	9.8	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	9.9	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.1	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.2	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.3	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.4	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.5	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.6	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.7	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.8	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	10.9	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.1	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.2	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.3	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.4	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.5	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.6	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.7	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.8	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	11.9	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	12	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	12.1	1
-0.8	10.9955742875643	 min at x=11.0 f(x)=-1 	0	12.2	1
0.8	7.85398163397448	 max at x=7.9 f(x)=1 	1	12.3	1
-0.8	13.1946891450771	 min at x=124.1 f(x)=-1 	0	12.4	1
-0.8	-0.628318530717959	 min at x=-1.6 f(x)=-1 	0	12.5	1
