x	xend	y	yend	clickSelects	PANEL
7.9	7.9	7.85398163397448	-0.785398163397448	7.9	2
8	8	7.85398163397448	-0.785398163397448	8	2
8.1	8.1	7.85398163397448	-0.785398163397448	8.1	2
8.2	8.2	7.85398163397448	-0.785398163397448	8.2	2
8.3	8.3	7.85398163397448	-0.785398163397448	8.3	2
8.4	8.4	7.85398163397448	-0.785398163397448	8.4	2
8.5	8.5	7.85398163397448	-0.785398163397448	8.5	2
8.6	8.6	7.85398163397448	-0.785398163397448	8.6	2
8.7	8.7	7.85398163397448	-0.785398163397448	8.7	2
8.8	8.8	7.85398163397448	-0.785398163397448	8.8	2
8.9	8.9	7.85398163397448	-0.785398163397448	8.9	2
9	9	7.85398163397448	-0.785398163397448	9	2
9.1	9.1	16.4933614313464	-0.785398163397448	9.1	2
9.2	9.2	4.71238898038469	-0.785398163397448	9.2	2
9.3	9.3	1.5707963267949	-0.785398163397448	9.3	2
9.4	9.4	-0.785398163397448	-0.785398163397448	9.4	2
9.5	9.5	16.4933614313464	-0.785398163397448	9.5	2
9.6	9.6	14.1371669411541	-0.785398163397448	9.6	2
9.7	9.7	14.1371669411541	-0.785398163397448	9.7	2
9.8	9.8	7.85398163397448	-0.785398163397448	9.8	2
9.9	9.9	10.9955742875643	-0.785398163397448	9.9	2
10	10	10.9955742875643	-0.785398163397448	10	2
10.1	10.1	10.9955742875643	-0.785398163397448	10.1	2
10.2	10.2	10.9955742875643	-0.785398163397448	10.2	2
10.3	10.3	10.9955742875643	-0.785398163397448	10.3	2
10.4	10.4	10.9955742875643	-0.785398163397448	10.4	2
10.5	10.5	10.9955742875643	-0.785398163397448	10.5	2
10.6	10.6	10.9955742875643	-0.785398163397448	10.6	2
10.7	10.7	10.9955742875643	-0.785398163397448	10.7	2
10.8	10.8	10.9955742875643	-0.785398163397448	10.8	2
10.9	10.9	10.9955742875643	-0.785398163397448	10.9	2
11	11	10.9955742875643	-0.785398163397448	11	2
11.1	11.1	10.9955742875643	-0.785398163397448	11.1	2
11.2	11.2	10.9955742875643	-0.785398163397448	11.2	2
11.3	11.3	10.9955742875643	-0.785398163397448	11.3	2
11.4	11.4	10.9955742875643	-0.785398163397448	11.4	2
11.5	11.5	10.9955742875643	-0.785398163397448	11.5	2
11.6	11.6	10.9955742875643	-0.785398163397448	11.6	2
11.7	11.7	10.9955742875643	-0.785398163397448	11.7	2
11.8	11.8	10.9955742875643	-0.785398163397448	11.8	2
11.9	11.9	10.9955742875643	-0.785398163397448	11.9	2
12	12	10.9955742875643	-0.785398163397448	12	2
12.1	12.1	10.9955742875643	-0.785398163397448	12.1	2
12.2	12.2	10.9955742875643	-0.785398163397448	12.2	2
12.3	12.3	7.85398163397448	-0.785398163397448	12.3	2
12.4	12.4	16.4933614313464	-0.785398163397448	12.4	2
12.5	12.5	-0.785398163397448	-0.785398163397448	12.5	2
12.6	12.6	16.4933614313464	-0.785398163397448	12.6	2
12.7	12.7	16.4933614313464	-0.785398163397448	12.7	2
12.8	12.8	16.4933614313464	-0.785398163397448	12.8	2
12.9	12.9	16.4933614313464	-0.785398163397448	12.9	2
13	13	14.1371669411541	-0.785398163397448	13	2
13.1	13.1	14.1371669411541	-0.785398163397448	13.1	2
13.2	13.2	14.1371669411541	-0.785398163397448	13.2	2
13.3	13.3	14.1371669411541	-0.785398163397448	13.3	2
13.4	13.4	14.1371669411541	-0.785398163397448	13.4	2
13.5	13.5	14.1371669411541	-0.785398163397448	13.5	2
13.6	13.6	14.1371669411541	-0.785398163397448	13.6	2
13.7	13.7	14.1371669411541	-0.785398163397448	13.7	2
13.8	13.8	14.1371669411541	-0.785398163397448	13.8	2
13.9	13.9	14.1371669411541	-0.785398163397448	13.9	2
14	14	14.1371669411541	-0.785398163397448	14	2
14.1	14.1	14.1371669411541	-0.785398163397448	14.1	2
14.2	14.2	14.1371669411541	-0.785398163397448	14.2	2
14.3	14.3	14.1371669411541	-0.785398163397448	14.3	2
14.4	14.4	14.1371669411541	-0.785398163397448	14.4	2
14.5	14.5	14.1371669411541	-0.785398163397448	14.5	2
14.6	14.6	14.1371669411541	-0.785398163397448	14.6	2
14.7	14.7	14.1371669411541	-0.785398163397448	14.7	2
14.8	14.8	14.1371669411541	-0.785398163397448	14.8	2
14.9	14.9	14.1371669411541	-0.785398163397448	14.9	2
15	15	14.1371669411541	-0.785398163397448	15	2
15.1	15.1	14.1371669411541	-0.785398163397448	15.1	2
15.2	15.2	14.1371669411541	-0.785398163397448	15.2	2
15.3	15.3	14.1371669411541	-0.785398163397448	15.3	2
15.4	15.4	4.71238898038469	-0.785398163397448	15.4	2
15.5	15.5	10.9955742875643	-0.785398163397448	15.5	2
15.6	15.6	16.4933614313464	-0.785398163397448	15.6	2
15.7	15.7	-0.785398163397448	-0.785398163397448	15.7	2
