colour	x	y	showSelected1
#000000	4.73606932701979	-0.999719633693478	f(x) objective
#000000	4.81500381580345	-0.994739716020657	f(x) objective
#000000	4.89393830458712	-0.98356513723637	f(x) objective
#000000	4.97287279337078	-0.966265486126022	f(x) objective
#000000	5.05180728215444	-0.942948494867437	f(x) objective
#000000	5.1307417709381	-0.913759368137437	f(x) objective
#000000	5.20967625972177	-0.87887987886146	f(x) objective
#000000	5.28861074850543	-0.838527236237378	f(x) objective
#000000	5.36754523728909	-0.792952733082779	f(x) objective
#000000	5.44647972607276	-0.742440180929283	f(x) objective
#000000	5.52541421485642	-0.687304142609184	f(x) objective
#000000	5.60434870364008	-0.627887973340859	f(x) objective
#000000	5.68328319242375	-0.564561682511918	f(x) objective
#000000	5.76221768120741	-0.497719629475684	f(x) objective
#000000	5.84115216999107	-0.42777806771021	f(x) objective
#000000	5.92008665877474	-0.355172552633429	f(x) objective
#000000	5.9990211475584	-0.280355229217014	f(x) objective
#000000	6.07795563634206	-0.203792016290153	f(x) objective
#000000	6.15689012512573	-0.125959705067717	f(x) objective
#000000	6.23582461390939	-0.0473429899715583	f(x) objective
#000000	6.31475910269305	0.0315685497648106	f(x) objective
#000000	6.39369359147672	0.110283498911275	f(x) objective
#000000	6.47262808026038	0.188311666489718	f(x) objective
#000000	6.55156256904404	0.265167138398678	f(x) objective
#000000	6.6304970578277	0.340371303404113	f(x) objective
#000000	6.70943154661137	0.413455833652134	f(x) objective
#000000	6.78836603539503	0.483965601142839	f(x) objective
#000000	6.86730052417869	0.551461512003107	f(x) objective
#000000	6.94623501296236	0.615523240908179	f(x) objective
#000000	7.02516950174602	0.675751848623609	f(x) objective
#000000	7.10410399052968	0.731772266367077	f(x) objective
#000000	7.18303847931335	0.78323563151889	f(x) objective
#000000	7.26197296809701	0.829821460135726	f(x) objective
#000000	7.34090745688067	0.87123964273846	f(x) objective
#000000	7.41984194566434	0.907232250945481	f(x) objective
#000000	7.498776434448	0.937575143700825	f(x) objective
#000000	7.57771092323166	0.962079363094463	f(x) objective
#000000	7.65664541201533	0.980592311082404	f(x) objective
#000000	7.73557990079899	0.99299869977867	f(x) objective
#000000	7.81451438958265	0.999221269401276	f(x) objective
#000000	7.89344887836631	0.999221269401276	f(x) objective
#000000	7.97238336714998	0.99299869977867	f(x) objective
#000000	8.05131785593364	0.980592311082404	f(x) objective
#000000	8.1302523447173	0.962079363094463	f(x) objective
#000000	8.20918683350097	0.937575143700825	f(x) objective
#000000	8.28812132228463	0.907232250945482	f(x) objective
#000000	8.36705581106829	0.871239642738459	f(x) objective
#000000	8.44599029985196	0.829821460135726	f(x) objective
#000000	8.52492478863562	0.783235631518891	f(x) objective
#000000	8.60385927741928	0.731772266367077	f(x) objective
#000000	8.68279376620295	0.675751848623608	f(x) objective
#000000	8.76172825498661	0.615523240908179	f(x) objective
#000000	8.84066274377027	0.551461512003108	f(x) objective
#000000	8.91959723255394	0.483965601142839	f(x) objective
#000000	8.9985317213376	0.413455833652134	f(x) objective
#000000	9.07746621012126	0.340371303404113	f(x) objective
#000000	9.15640069890492	0.265167138398679	f(x) objective
#000000	9.23533518768859	0.188311666489719	f(x) objective
#000000	9.31426967647225	0.110283498911274	f(x) objective
#000000	9.39320416525591	0.0315685497648104	f(x) objective
#000000	9.47213865403958	-0.0473429899715577	f(x) objective
#000000	9.55107314282324	-0.125959705067717	f(x) objective
#000000	9.6300076316069	-0.203792016290153	f(x) objective
#000000	9.70894212039057	-0.280355229217015	f(x) objective
#000000	9.78787660917423	-0.355172552633428	f(x) objective
#000000	9.86681109795789	-0.427778067710209	f(x) objective
#000000	9.94574558674156	-0.497719629475684	f(x) objective
#000000	10.0246800755252	-0.564561682511918	f(x) objective
#000000	10.1036145643089	-0.627887973340858	f(x) objective
#000000	10.1825490530925	-0.687304142609184	f(x) objective
#000000	10.2614835418762	-0.742440180929282	f(x) objective
#000000	10.3404180306599	-0.792952733082779	f(x) objective
#000000	10.4193525194435	-0.838527236237377	f(x) objective
#000000	10.4982870082272	-0.87887987886146	f(x) objective
#000000	10.5772214970109	-0.913759368137436	f(x) objective
#000000	10.6561559857945	-0.942948494867437	f(x) objective
#000000	10.7350904745782	-0.966265486126022	f(x) objective
#000000	10.8140249633619	-0.98356513723637	f(x) objective
#000000	10.8929594521455	-0.994739716020657	f(x) objective
#000000	10.9718939409292	-0.999719633693478	f(x) objective
#000000	11.0508284297128	-0.998473878220379	f(x) objective
#000000	11.1297629184965	-0.991010207442792	f(x) objective
#000000	11.2086974072802	-0.977375100766707	f(x) objective
#000000	11.2876318960638	-0.957653469715929	f(x) objective
#000000	11.3665663848475	-0.931968129152435	f(x) objective
#000000	11.4455008736312	-0.900479032456752	f(x) objective
#000000	11.5244353624148	-0.863382275431224	f(x) objective
#000000	11.6033698511985	-0.820908875129262	f(x) objective
#000000	11.6823043399821	-0.773323331215339	f(x) objective
#000000	11.7612388287658	-0.720921978814717	f(x) objective
#000000	11.8401733175495	-0.664031143110432	f(x) objective
#000000	11.9191078063331	-0.603005107179614	f(x) objective
#000000	11.9980422951168	-0.538223905724288	f(x) objective
#000000	12.0769767839005	-0.470090958436003	f(x) objective
#000000	12.1559112726841	-0.399030557732342	f(x) objective
#000000	12.2348457614678	-0.325485226510211	f(x) objective
#000000	12.3137802502515	-0.249912962370308	f(x) objective
#000000	12.3927147390351	-0.1727843854741	f(x) objective
#000000	12.4716492278188	-0.0945798077948456	f(x) objective
#000000	12.5505837166024	-0.0157862420136363	f(x) objective
#000000	12.6295182053861	0.0631056313126739	f(x) objective
#000000	12.7084526941698	0.141604519424951	f(x) objective
#000000	12.7873871829534	0.219221576847691	f(x) objective
#000000	12.8663216717371	0.295473449634669	f(x) objective
#000000	12.9452561605208	0.369885285416547	f(x) objective
#000000	13.0241906493044	0.441993690505579	f(x) objective
#000000	13.1031251380881	0.511349615642326	f(x) objective
#000000	13.1820596268717	0.577521152413588	f(x) objective
#000000	13.2609941156554	0.640096222927108	f(x) objective
#000000	13.3399286044391	0.698685145993307	f(x) objective
#000000	13.4188630932227	0.752923063833377	f(x) objective
#000000	13.4977975820064	0.802472214201577	f(x) objective
#000000	13.5767320707901	0.847024033772299	f(x) objective
#000000	13.6556665595737	0.886301079693209	f(x) objective
#000000	13.7346010483574	0.920058757338174	f(x) objective
#000000	13.8135355371411	0.948086843500509	f(x) objective
#000000	13.8924700259247	0.970210795540986	f(x) objective
#000000	13.9714045147084	0.986292838338003	f(x) objective
#000000	14.050339003492	0.996232822271007	f(x) objective
#000000	14.1292734922757	0.999968846894156	f(x) objective
#000000	14.2082079810594	0.997477646416339	f(x) objective
#000000	14.287142469843	0.988774734587003	f(x) objective
#000000	14.3660769586267	0.973914308085538	f(x) objective
#000000	14.4450114474104	0.95298890901584	f(x) objective
#000000	14.523945936194	0.926128848607841	f(x) objective
#000000	14.6028804249777	0.893501395714874	f(x) objective
#000000	14.6818149137613	0.855309735160412	f(x) objective
#000000	14.760749402545	0.811791702421021	f(x) objective
#000000	14.8396838913287	0.763218302525168	f(x) objective
#000000	14.9186183801123	0.709892022391333	f(x) objective
#000000	14.997552868896	0.652144947115187	f(x) objective
#000000	15.0764873576797	0.590336691936529	f(x) objective
#000000	15.1554218464633	0.524852162764469	f(x) objective
#000000	15.234356335247	0.456099159207016	f(x) objective
#000000	15.3132908240307	0.384505835032011	f(x) objective
#000000	15.3922253128143	0.31051803187417	f(x) objective
#000000	15.471159801598	0.23459650279237	f(x) objective
#000000	15.5500942903816	0.157214042967251	f(x) objective
#000000	15.6290287791653	0.0788525454074766	f(x) objective
#000000	15.707963267949	6.12323399573677e-16	f(x) objective
