x	y	showSelected1	PANEL
3	-3.30464930195599	9.2	2
4	-10.3910726785251	9.2	2
5	-15.7358978892228	9.2	2
1	-0.00338969227267005	9.3	2
2	-0.617982702570789	9.3	2
3	-2.30776321970016	9.3	2
4	-7.4004014392937	9.3	2
5	-16.2130191439424	9.3	2
1	-0.000133330614780221	9.4	2
2	-0.0489105219189551	9.4	2
3	-0.111475325038595	9.4	2
4	-0.481430624679314	9.4	2
5	-1.87664429484943	9.4	2
6	-6.10698515175857	9.4	2
7	-15.2125803495157	9.4	2
1	-0.0012298567016509	9.5	2
2	-0.147216219385593	9.5	2
3	-0.656500818767752	9.5	2
4	-2.42719041241179	9.5	2
5	-7.75868699826672	9.5	2
6	-15.0665776384413	9.5	2
1	-0.00670141822363608	9.6	2
2	-0.0475473969234441	9.6	2
3	-0.10270105604494	9.6	2
4	-0.434985354476318	9.6	2
5	-1.72592859887775	9.6	2
6	-5.65476893745838	9.6	2
7	-15.2587766345031	9.6	2
1	-0.016660234352513	9.7	2
2	-0.107460518817532	9.7	2
3	-0.460374685638801	9.7	2
4	-1.8086533821951	9.7	2
5	-5.90298704610343	9.7	2
6	-15.2587766345031	9.7	2
1	-0.0313180350927709	9.8	2
2	-0.011341646994876	9.8	2
3	-0.781274352464848	9.8	2
4	-2.81011012140907	9.8	2
5	-8.90745057802723	9.8	2
6	-15.5140491396064	9.8	2
1	-0.0510048671438754	9.9	2
2	-0.125015976074122	9.9	2
3	-0.550203071309706	9.9	2
4	-2.09556918773148	9.9	2
5	-6.7638036478336	9.9	2
6	-15.3679211039282	9.9	2
1	-0.0762010149054333	10	2
2	-0.284049588818112	10	2
3	-1.20857036986379	10	2
4	-4.10133398027538	10	2
5	-12.7808614899268	10	2
6	-15.3679211039282	10	2
1	-0.107589156691209	10.1	2
2	-0.46105436727576	10.1	2
3	-1.8108563900001	10.1	2
4	-5.90959702219779	10.1	2
5	-15.3679211039282	10.1	2
1	-0.146140233948981	10.2	2
2	-0.651510979041647	10.2	2
3	-2.41175884189997	10.2	2
4	-7.71239190794232	10.2	2
5	-15.3679211039282	10.2	2
1	-0.193259593086047	10.3	2
2	-0.857836713767692	10.3	2
3	-3.04304421372409	10.3	2
4	-9.60625449994443	10.3	2
5	-15.3679211039282	10.3	2
1	-0.251049325924614	10.4	2
2	-1.0862242572464	10.4	2
3	-3.73315845728105	10.4	2
4	-11.6764734659906	10.4	2
5	-15.3679211039282	10.4	2
1	-0.322815752118434	10.5	2
2	-1.34697771504989	10.5	2
3	-4.51726288185232	10.5	2
4	-13.9901449710696	10.5	2
5	-15.3679211039282	10.5	2
1	-0.414157946036264	10.6	2
2	-1.6573792403221	10.6	2
3	-5.4490695837539	10.6	2
4	-15.3679211039282	10.6	2
1	-0.535675495375475	10.7	2
2	-2.04967225718711	10.7	2
3	-6.62610692951489	10.7	2
4	-15.3679211039282	10.7	2
1	-0.711460358386003	10.8	2
2	-2.59648927815799	10.8	2
3	-8.26658660916542	10.8	2
4	-15.3679211039282	10.8	2
1	-1.02032030520945	10.9	2
2	-3.53450826197276	10.9	2
3	-11.0806657572528	10.9	2
4	-15.3679211039282	10.9	2
1	-2.35401822588056	11	2
2	-7.53916826809294	11	2
3	-15.3679211039282	11	2
1	-0.981982150856369	11.1	2
2	-3.41880033669335	11.1	2
3	-10.7335300527593	11.1	2
4	-15.3679211039282	11.1	2
1	-0.692493556646688	11.2	2
2	-2.53819282494551	11.2	2
3	-8.09169644250094	11.2	2
4	-15.3679211039282	11.2	2
1	-0.523247555200942	11.3	2
2	-2.01027147142234	11.3	2
3	-6.50789838759452	11.3	2
4	-15.3679211039282	11.3	2
1	-0.405065343967553	11.4	2
2	-1.62723601361003	11.4	2
3	-5.35861169409556	11.4	2
4	-15.3679211039282	11.4	2
1	-0.315778928655871	11.5	2
2	-1.32221719522977	11.5	2
3	-4.44288562533657	11.5	2
4	-13.7847369441283	11.5	2
5	-15.3679211039282	11.5	2
1	-0.245430268951991	11.6	2
2	-1.06488996668097	11.6	2
3	-3.66888260055195	11.6	2
4	-11.4837111180897	11.6	2
5	-15.3679211039282	11.6	2
1	-0.188695615303025	11.7	2
2	-0.838799212703695	11.7	2
3	-2.98522994080434	11.7	2
4	-9.43281120042864	11.7	2
5	-15.3679211039282	11.7	2
1	-0.142406716273744	11.8	2
2	-0.634077018448438	11.8	2
3	-2.35775247110121	11.8	2
4	-7.55037114239569	11.8	2
5	-15.3679211039282	11.8	2
1	-0.104538614442731	11.9	2
2	-0.44484423873182	11.9	2
3	-1.75815437818888	11.9	2
4	-5.75146532646628	11.9	2
5	-15.3679211039282	11.9	2
1	-0.0737327078821612	12	2
2	-0.269091851393896	12	2
3	-1.15370227539392	12	2
4	-3.93629801748253	12	2
5	-12.2854459651827	12	2
6	-15.3679211039282	12	2
1	-0.0490483140536954	12.1	2
2	-0.112364362563345	12.1	2
3	-0.486050143486126	12.1	2
4	-1.89149337878904	12.1	2
5	-6.15153696297333	12.1	2
6	-15.3679211039282	12.1	2
1	-0.0298235066063295	12.2	2
2	-0.00622991391664279	12.2	2
3	-0.014010109814152	12.2	2
4	-0.25714674174043	12.2	2
5	-1.10919779109175	12.2	2
6	-3.80234436274169	12.2	2
7	-11.884039896102	12.2	2
8	-15.3679211039282	12.2	2
1	-0.0155930376064601	12.3	2
2	-0.152405674089678	12.3	2
3	-0.680357295181673	12.3	2
4	-2.50082204907386	12.3	2
5	-7.97958349946024	12.3	2
6	-15.5140491396064	12.3	2
1	-0.00603839167596188	12.4	2
2	-0.00570245151258115	12.4	2
3	-1.7251258421563e-05	12.4	2
4	-0.205057841936038	12.4	2
5	-0.906276801763434	12.4	2
6	-3.18989196190721	12.4	2
7	-10.0468025574552	12.4	2
8	-15.308285958835	12.4	2
1	-0.000957249388510009	12.5	2
2	-0.0824259699699698	12.5	2
3	-0.321069182656018	12.5	2
4	-1.34084580639441	12.5	2
5	-4.49884446512699	12.5	2
6	-13.9748208075539	12.5	2
7	-16.2130191439424	12.5	2
